date,price,BTC_VOLUME,ETH_PRICE,ETH_VOLUME,USDT_VOLUME,SPY_PRICE,SPY_VOLUME,QQQ_PRICE,QQQ_VOLUME,GLD_PRICE,GLD_VOLUME,USO_PRICE,USO_VOLUME,JNK_PRICE,JNK_VOLUME,SHY_PRICE,SHY_VOLUME,IEF_PRICE,IEF_VOLUME,TLT_PRICE,TLT_VOLUME,DXY_INDEX,VIX_INDEX,PUT_INDEX,BCOM_INDEX,STOXX_INDEX,SSEC_INDEX
1/2/2018,14767.66,4130217904,876.8902588,2720973272,2632020000,268.77,86655749,158.49,32573272,125.15,11762515,96.56,1497583,110.28,3825092,83.82,1786046,105.22,3902185,125.49,16238206,91.872,9.77,1854.8,88.4101,3166.66,3348.3259
1/3/2018,15027.05,3310355625,963.0557507,2308657206,2461680000,270.47,90070416,160.03,29383557,124.82,7904326,98.72,2156151,110.82,8505087,83.82,1040937,105.33,2135976,126.09,8605121,92.162,9.15,1857.06,88.6085,3178.29,3369.1084
1/4/2018,14893.34,4217387188,978.4161042,2756635496,3203460000,271.61,80636408,160.31,24776125,125.46,7329718,98.96,1480984,110.97,2887353,83.78,955446,105.28,2430030,126.07,9217876,91.853,9.22,1858.04,88.5688,3202.79,3385.7102
1/5/2018,16555.04,6275687596,1004.894972,2894788529,3096040000,273.42,83523995,161.92,26992340,125.33,5739904,98.48,1609891,111.09,2724918,83.78,850599,105.15,2163587,125.71,10915437,91.949,9.22,1858.71,87.9152,3232.09,3391.7501
1/8/2018,14938.37,5752981090,1184.92393,4813539670,3798580000,273.92,57319192,162.55,23159061,125.31,3566707,99.04,1229219,110.97,3486121,83.78,597787,105.1,2450624,125.63,8850576,92.358,9.52,1859.46,87.6911,3241.7,3409.4795
1/9/2018,14510.13,4214092202,1361.439668,4248463430,2761970000,274.54,57253957,162.56,24782448,124.73,9153584,100.56,2666146,110.7,2927834,83.75,1551131,104.6,5924200,123.95,16226402,92.528,10.08,1859.61,88.0988,3253.37,3413.8996
1/10/2018,14491.36,4969472883,1345.587602,5901388488,3152380000,274.12,69574318,162.18,34004028,125.03,14809303,101.44,1821545,110.49,16481388,83.78,789546,104.57,2142476,123.8,14302604,92.332,9.82,1859.82,88.2393,3246.4,3421.8343
1/11/2018,13463.52,5833888113,1181.65141,3701485303,3832640000,276.12,62361455,163.29,20473518,125.44,5994730,101.6,2579096,110.76,3347980,83.75,1047876,104.64,1798688,124.31,12511001,91.852,9.88,1860.07,88.3059,3233.44,3425.3449
1/12/2018,13763,4021952803,1315.618758,2569674474,2683030000,277.92,90816076,164.49,37762708,126.96,9258570,102.96,2850194,110.58,5027865,83.74,904967,104.57,1430710,124.52,9987129,90.974,10.16,1860.17,88.7565,3242.88,3428.9407
1/16/2018,10753.3,9677283153,1068.600411,5197858118,5541320000,276.97,106555142,164.02,41231849,127.17,8083895,102.08,2277844,110.61,5822496,83.73,2707733,104.62,5927505,125.04,9125890,90.393,11.66,1860.31,88.4507,3235.13,3436.594
1/17/2018,11387.79,10225958521,1022.365213,5505023203,5611060000,279.61,113258799,165.79,33849879,126.14,10130509,102.24,1993007,110.52,4194290,83.7,2950768,104.39,2186145,124.87,8326973,90.541,11.91,1860.56,88.7962,3231.71,3444.6713
1/18/2018,11605,6558304864,1036.072313,3220457431,4270310000,279.14,100728006,165.82,26432166,125.86,6289271,102.08,2075708,110.43,5777096,83.68,1090678,104.06,3326215,123.71,10843892,90.498,12.22,1860.73,88.6943,3239.43,3474.754
1/19/2018,11350,4208563477,1046.898597,2067139498,2879550000,280.41,140920098,166.34,38937588,126.42,8773753,101.76,2168169,110.46,3398823,83.71,1052061,103.79,2921631,123.06,11374309,90.572,11.27,1863.54,88.5425,3253.61,3487.864
1/22/2018,10350,5012581424,1000.387133,2128266202,3254440000,282.69,91322408,168.12,26081388,126.65,4893546,102.24,1866225,110.55,4673251,83.67,973549,103.75,8047404,123.18,8985125,90.401,11.03,1868.43,88.8092,3267.49,3501.3622
1/23/2018,10980.59,4779406611,991.6653206,2162095341,3128360000,283.29,97084700,169.51,37989650,127.28,6190410,103.76,2077243,110.88,3063014,83.72,885609,104.05,1780075,123.71,12325687,90.124,11.1,1869.47,89.1564,3274.97,3546.5048
1/24/2018,11233.84,3582338296,1056.879233,1871168506,2618370000,283.18,134816117,168.41,54287377,128.83,11827554,105.76,3267222,110.79,3827962,83.7,865652,103.85,1952198,123.04,9038909,89.206,11.47,1868.6,90.4641,3260.54,3559.4653
1/25/2018,11245.8,3204496193,1059.315496,2098100041,2582940000,283.3,84587313,168.35,28924956,127.97,15219664,104.48,2096796,110.67,4049981,83.68,757205,104.08,3341952,124.05,12173297,89.391,11.58,1869,90.459,3244.66,3548.307
1/26/2018,10918,4616389063,1048.798906,2126139932,2950310000,286.58,107743119,170.93,32038184,128.07,7828744,105.92,3971992,110.76,2640204,83.63,990699,103.77,3324858,123.59,6462945,89.067,11.08,1873.53,90.7999,3259.05,3558.1288
1/29/2018,11200.01,2345235501,1169.634257,2005499365,2037230000,284.68,90118337,170.1,37277849,127.35,6956392,104.88,1978616,110.4,5021159,83.6,1440058,103.51,2328244,122.73,12223038,89.308,13.84,1869.29,90.6277,3253.74,3523.0007
1/30/2018,10082,2321424680,1161.908643,2006770996,2026820000,281.76,131796419,168.7,44987688,126.8,9736105,103.2,4303672,109.92,7499674,83.61,1708637,103.27,2346906,122.01,12064454,89.16,14.79,1863.51,90.2823,3222.82,3488.009
1/31/2018,9969.99,3804947187,1058.096053,2570454740,3096270000,281.9,118948131,169.4,42449199,127.65,13418904,103.84,2657822,110.1,6707875,83.61,2078654,103.3,2966405,122.73,18045079,89.133,13.54,1866,89.8001,3212.27,3480.8334
2/1/2018,9086.59,3225562145,1106.138172,2148302757,2662360000,281.58,90102470,167.96,38037875,128.07,10854639,105.92,2509275,109.35,8204248,83.49,2243803,102.6,8958312,120.7,18632780,88.671,13.47,1866.33,89.8659,3181.99,3446.9799
2/2/2018,8561.81,4769515274,1021.269379,3414246408,3483370000,275.45,173174790,164.61,68478082,126.39,16789214,104.32,3594686,108.81,9277296,83.5,1825540,102.22,5753531,119.58,23944423,89.195,17.31,1843.26,89.1213,3143.9,3462.0808
2/5/2018,7092,3337096341,834.8891703,1882681774,2509000000,263.93,294681816,158.12,105372224,126.71,13596327,102.16,3841071,108.12,11461224,83.65,2019772,103.06,6901979,120.71,28606241,89.554,37.32,1772.02,88.5135,3094.14,3487.497
2/6/2018,7799.01,5313588643,684.3133397,2941430689,3937090000,269.13,355026782,162.31,118537891,125.38,17672450,101.6,2954536,108.69,14334114,83.59,2386681,102.61,5382882,119.96,10935439,89.585,29.98,1801.59,88.1673,3014.45,3370.652
2/7/2018,8080,9152685413,785.7389155,5021975964,6266930000,267.67,167376100,160.21,91028328,124.79,8558460,98.96,4613661,108.27,8502815,83.53,2053983,102.31,4773709,118.82,16271063,90.255,27.73,1797.16,87.148,3070.3,3309.2598
2/8/2018,8174.88,4862232217,751.8878894,2635662719,3352860000,257.63,246449505,153.45,94184831,124.98,7343637,96.72,3407439,107.49,12165948,83.54,1178608,102.4,5685261,118.69,15155094,90.229,33.46,1730.35,87.0087,3025.67,3262.0504
2/9/2018,8548.31,3190753947,807.8227505,2256661883,2495780000,261.5,283565315,156.1,113836554,124.77,14140696,94.88,5397893,107.04,21190907,83.61,3159919,102.22,4376918,117.94,15661576,90.442,29.06,1757.41,85.6442,2974.33,3129.8508
2/12/2018,8833.93,2806997177,817.2905244,1606757571,2427580000,265.34,143735976,158.87,63050637,125.37,6984852,95.12,2039018,107.76,8982749,83.57,1592814,102.19,2836265,118.46,10944598,90.208,25.61,1781.57,86.3257,3009.18,3154.1254
2/13/2018,8556.44,3069219871,862.7487726,1342080235,2463490000,266,81223640,159.69,31785595,126.08,5321327,94.96,2372760,107.46,5217590,83.57,1292877,102.36,2698089,118.99,8157569,89.703,24.97,1786.74,86.7893,2987.39,3184.9587
2/14/2018,9287.91,2551515988,833.7791837,1215799276,2249290000,269.59,120735685,162.68,52107431,128.23,16416413,97.44,4469887,107.64,5754592,83.45,953396,101.74,4141940,117.67,12043313,89.121,19.26,1811.75,87.9944,3014.2,3199.1589
2/15/2018,9868.25,3282094241,915.076543,1659598861,3041180000,273.03,111200286,165.7,51633887,128.38,7276495,98.64,2406039,108.42,6080581,83.42,1452820,101.77,3057291,118.07,8222416,88.593,19.13,1833.87,88.2377,3024.61,#N/A
2/16/2018,10082.33,4332356646,928.2935214,1674187630,3297560000,273.11,160420135,164.96,62256291,127.96,7956921,99.04,2222812,108.96,5555888,83.44,728338,102.01,2277771,118.71,8454089,89.1,19.46,1825.17,88.2043,3057.75,#N/A
2/20/2018,11706.54,3486171705,928.2902425,1113969169,2556800000,271.4,86369662,165.29,36785626,126.24,11148745,99.12,2719736,108.57,5533137,83.43,1448475,101.9,2138272,118.19,8268822,89.716,20.6,1820.57,88.0035,3053.83,#N/A
2/21/2018,10302.57,4225354045,902.9690554,1376504168,2960120000,270.05,98883740,164.82,41161779,125.66,7908753,98.32,1422543,108.15,5999076,83.44,1540741,101.6,2253855,116.74,12054315,90,20.02,1815.25,88.2742,3057.34,#N/A
2/22/2018,9933.5,4574800113,809.1296597,1249190217,2911040000,270.4,110511290,164.8,37074413,126.3,5346347,100.72,2411834,108.15,4991385,83.45,839306,101.74,4412008,117.09,9317852,89.736,18.72,1818.39,88.6675,3049.57,3268.5589
2/23/2018,9920.64,4626064156,812.4468626,1255677307,2928040000,274.71,92766428,168.17,50096916,126.14,4239709,102.16,2300130,108.78,3894969,83.47,753813,102.13,4484674,118.13,9072850,89.883,16.49,1837.25,88.6922,3058.64,3289.0241
2/26/2018,10373.34,2743650278,842.6280248,971919367.5,1978000000,277.9,86491406,170.4,39266658,126.45,3194743,102.88,1748421,109.02,6475951,83.48,1445777,102.25,2725643,118.17,8771646,89.853,15.8,1845.09,89.0401,3076.58,3329.5737
2/27/2018,10744.6,3646748812,863.6502752,1273600055,2383900000,274.43,99099165,168.29,42209873,125.13,7082301,101.2,2128952,108.72,4713662,83.42,852344,101.93,3308886,118,12525659,90.355,18.59,1834.86,88.5909,3066.14,3292.0679
2/28/2018,10533.04,3398119467,869.2632438,1185779363,2475340000,271.65,121907767,167.21,42936334,125,4534884,98.96,3475798,108.63,5624020,83.44,3721301,102.17,2521402,118.75,9311606,90.613,19.85,1825.77,88.1409,3038.11,3259.408
3/1/2018,10929.91,3182259829,846.3652118,1088578649,2396490000,267.7,176855077,164.48,76809904,124.72,12910071,98.8,3238867,107.67,5337066,83.47,2049917,102.45,5352579,119.32,12287700,90.324,22.47,1809.22,88.2028,3004.54,3273.7549
3/2/2018,11026.93,2892166041,855.6787797,1046744162,2297490000,269.08,139083217,165.99,57445063,125.39,9994341,98.96,2254716,108,5458433,83.43,1716636,102.07,2140780,118.35,10064302,89.935,19.59,1818.73,88.1477,2940.84,3254.5283
3/5/2018,11558.85,2580256309,843.7565763,921438207.1,2092290000,272.19,97307387,167.83,38540207,125.18,5778343,100.72,2458352,107.94,3616193,83.425,1112239,101.94,2059342,118.03,5658174,90.08,18.73,1833.03,88.7022,2972.93,3256.9263
3/6/2018,10790,2693945511,840.1509955,996644678.1,2249900000,272.88,79213163,168.54,29480927,126.53,8676781,100.56,2256982,108.09,3079566,83.41,737314,101.93,2331340,118.14,5452045,89.618,18.36,1837.32,89.0069,2965.65,3289.6419
3/7/2018,9941.5,3618749299,808.4491332,1163651037,2480530000,272.78,87063502,168.93,34609407,125.72,5158674,98.8,3119717,107.82,4068843,83.41,1230960,101.93,1258112,118.01,4461757,89.637,17.76,1838.02,88.0368,2972.49,3271.6683
3/8/2018,9318.99,4896773758,752.5931712,1517892303,3049800000,274.1,66901150,169.86,25828371,125.42,3474944,97.2,2881230,107.91,3810108,83.43,608889,102.14,1637019,118.69,7086716,90.179,16.54,1843.5,87.5878,3005.96,3288.4055
3/9/2018,8981.78,4028135944,699.1898985,1253573582,2650980000,278.87,113625335,173.16,38310546,125.54,5066833,99.76,2423105,108.27,3989839,83.39,668970,101.92,1604478,117.91,6570366,90.093,14.64,1854.07,87.9546,3016.37,3307.1656
3/12/2018,9014.07,3876612722,713.19533,1044019470,2392100000,278.52,71924793,174.08,37634971,125.54,2884269,98.96,2185133,108.15,3034039,83.43,1281180,102.16,1885719,118.59,5801739,89.895,15.78,1854.84,87.6662,3023.36,3326.6992
3/13/2018,9060.33,4019736167,695.314203,1041451579,2166510000,276.72,91968937,171.71,55638925,125.78,4798303,97.92,3024240,107.82,4026403,83.45,609891,102.33,1742071,119.19,7455302,89.664,16.35,1853.99,87.8767,2992.71,3310.2389
3/14/2018,8300,3628990704,684.6415844,914239003.2,1913310000,275.3,105895079,171.68,40536383,125.7,3777021,98.24,2319625,107.7,3608005,83.44,1525844,102.53,2598905,120.24,10175049,89.704,17.23,1852.78,87.6738,2986.87,3291.3819
3/15/2018,8250.01,4020163253,608.3931488,1222860954,2124490000,275,83433038,171.53,28810366,124.9,6130124,98.72,1467356,107.76,2024403,83.45,1106584,102.49,2757956,120.24,6757935,90.139,16.59,1855.59,87.3169,2996.4,3291.112
3/16/2018,8529.89,4571407140,612.4435397,1314501765,2284550000,274.2,100343673,171.02,31176742,124.6,7402188,100.4,3485081,107.91,2181146,83.41,878523,102.37,3595261,119.81,6084329,90.233,15.8,1854.51,87.3633,3015.58,3269.8821
3/19/2018,8424,4330642348,538.6905901,2515158737,2636520000,270.49,109208442,167.1,71395061,124.87,4335420,100.4,2855362,107.55,4324877,83.41,834896,102.27,2824964,119.43,8491173,89.765,19.02,1838.85,86.5238,2977.8,3279.2517
3/20/2018,8914.65,4276409100,555.0775482,1668238270,2620560000,270.95,59757271,167.65,34075664,124.31,3399440,102.48,2281837,107.7,3230347,83.38,1074682,102.07,2600627,118.95,5445971,90.371,18.2,1841.06,86.7228,2991.66,3290.6399
3/21/2018,8906.73,3554700592,554.209826,1363997499,2510880000,270.43,78709578,166.92,43863543,126.48,12532035,105.44,2886027,107.79,3233816,83.44,2404467,102.14,3365609,119.08,9742409,89.783,17.86,1840.28,87.41,2986.06,3280.9521
3/22/2018,8602.52,3081152046,561.1465342,1242490235,2358290000,263.67,148785916,162.8,66607288,125.98,5298709,103.6,1966450,107.13,3466260,83.48,1954888,102.56,5026477,120.26,12136574,89.857,23.34,1801.58,87.1029,2943.12,3263.4803
3/23/2018,8617.65,2931676660,537.7059724,1029637021,2170840000,258.05,183534751,158.51,80110392,127.61,12025882,106.24,2269887,106.86,5016462,83.5,1202847,102.7,2518958,120.17,7250408,89.484,24.87,1772.35,87.4415,2912.84,3152.7608
3/26/2018,7888,2066020545,519.3780446,654302263.8,1524270000,265.11,141956102,164.4,57481503,128.28,6169843,105.68,3121831,107.52,4253497,83.46,1729368,102.42,4185089,119.71,8237947,89.027,21.03,1811.38,87.2526,2894.75,3133.7218
3/27/2018,7992.17,2972024163,487.5396121,1130010306,2179460000,260.6,129941445,159.08,78889105,127.49,6180707,104.64,2577165,107.37,3869201,83.52,1732617,103,3495878,120.99,9168508,89.329,22.5,1783.63,87.258,2933.77,3166.6488
3/28/2018,7900.21,2653185409,449.0522525,1205007525,2043760000,259.83,146452306,157.25,89369655,125.73,10254883,104.32,2372903,107.31,4497801,83.53,1899270,102.98,2762514,121.31,7412538,90.058,22.87,1780.22,86.7627,2954.57,3122.2895
3/29/2018,7101,2033730317,443.949101,899161524.3,1870920000,263.15,124244790,160.13,68692566,125.79,7117156,104.72,2040579,107.55,5078752,83.56,2998890,103.19,2572109,121.9,9694323,90.151,19.97,1801.34,87.4729,2965.44,3160.5306
4/2/2018,6936.47,2649647152,379.1235134,928418706.6,1829520000,257.47,186286343,155.51,85549443,127.26,11421144,101.92,2413919,106.83,6435654,83.49,3047693,103.12,2748781,121.88,12036489,90.052,23.62,1762.54,86.8328,#N/A,3163.179
4/3/2018,7407.89,2253363912,384.8259823,725811930.9,1549630000,260.77,119956861,157.26,64090049,126.3,6083717,102.48,1146827,107.04,6111001,83.45,3418567,102.79,4229566,120.94,9855032,90.2,21.1,1785.88,87.0085,2954.12,3136.6332
4/4/2018,6827.05,2762080503,415.716234,938277656,1753330000,263.56,123715339,159.74,65768692,126.45,7488254,102.56,2538849,107.31,3130897,83.4,1717588,102.73,2216873,120.69,6654312,90.142,20.06,1805.63,86.6218,2950.1,3131.1114
